date,sitename,range,column,lat,lon,treatment,cultivar,aboveground_dry_biomass,units
2017-09-10,MAC Field Scanner Season 4 Range 15 Column 2,15,2,33.0750507888196,-111.975031381005,MAC Season 4: BAP water-deficit stress Aug 15-30,PI329645,38120.0,kg / ha
2017-09-10,MAC Field Scanner Season 4 Range 6 Column 3,6,3,33.074727315236395,-111.97501486337099,MAC Season 4: BAP water-deficit stress Aug 15-30,PI569423,14430.0,kg / ha
2017-09-10,MAC Field Scanner Season 4 Range 29 Column 3,29,3,33.0755539835366,-111.97501524280199,MAC Season 4: BAP water-deficit stress Aug 15-30,PI92270,1244.0,kg / ha
2017-09-10,MAC Field Scanner Season 4 Range 7 Column 3,7,3,33.074763257319,-111.97501487986999,MAC Season 4: BAP water-deficit stress Aug 15-30,PI570085,16360.0,kg / ha
2017-09-10,MAC Field Scanner Season 4 Range 7 Column 4,7,4,33.0747632626494,-111.974998510747,MAC Season 4: BAP water-deficit stress Aug 15-30,PI329710,23870.0,kg / ha
2017-09-10,MAC Field Scanner Season 4 Range 27 Column 2,27,2,33.075482093954896,-111.975031579041,MAC Season 4: BAP water-deficit stress Aug 15-30,PI641807,19100.0,kg / ha
2017-09-10,MAC Field Scanner Season 4 Range 6 Column 2,6,2,33.0747273099039,-111.975031232487,MAC Season 4: BAP water-deficit stress Aug 15-30,PI570075,14710.0,kg / ha
2017-09-10,MAC Field Scanner Season 4 Range 9 Column 4,9,4,33.0748351468147,-111.97499854368,MAC Season 4: BAP water-deficit stress Aug 15-30,PI521152,27930.0,kg / ha
2017-09-10,MAC Field Scanner Season 4 Range 10 Column 2,10,2,33.0748710783232,-111.975031298461,MAC Season 4: BAP water-deficit stress Aug 15-30,PI641807,33010.0,kg / ha
2017-09-10,MAC Field Scanner Season 4 Range 23 Column 2,23,2,33.0753383255727,-111.97503151299101,MAC Season 4: BAP water-deficit stress Aug 15-30,PI329843,13170.0,kg / ha
2017-09-10,MAC Field Scanner Season 4 Range 29 Column 4,29,4,33.075553988847105,-111.97499887352801,MAC Season 4: BAP water-deficit stress Aug 15-30,PI641829,18480.0,kg / ha
2017-09-10,MAC Field Scanner Season 4 Range 21 Column 4,21,4,33.0752664520575,-111.97499874158301,MAC Season 4: BAP water-deficit stress Aug 15-30,PI152961,22270.0,kg / ha
2017-09-10,MAC Field Scanner Season 4 Range 19 Column 2,19,2,33.0751945572088,-111.97503144698901,MAC Season 4: BAP water-deficit stress Aug 15-30,PI524475,12310.0,kg / ha
2017-09-10,MAC Field Scanner Season 4 Range 10 Column 2,10,2,33.0748710783232,-111.975031298461,MAC Season 4: BAP water-deficit stress Aug 15-30,PI641807,33010.0,kg / ha
2017-09-10,MAC Field Scanner Season 4 Range 21 Column 4,21,4,33.0752664520575,-111.97499874158301,MAC Season 4: BAP water-deficit stress Aug 15-30,PI152961,22270.0,kg / ha
2017-09-10,MAC Field Scanner Season 4 Range 23 Column 2,23,2,33.0753383255727,-111.97503151299101,MAC Season 4: BAP water-deficit stress Aug 15-30,PI329843,13170.0,kg / ha
2017-09-10,MAC Field Scanner Season 4 Range 9 Column 4,9,4,33.0748351468147,-111.97499854368,MAC Season 4: BAP water-deficit stress Aug 15-30,PI521152,27930.0,kg / ha
2017-09-10,MAC Field Scanner Season 4 Range 7 Column 2,7,2,33.0747632520038,-111.975031248967,MAC Season 4: BAP water-deficit stress Aug 15-30,PI303658,42000.0,kg / ha
2017-09-10,MAC Field Scanner Season 4 Range 27 Column 2,27,2,33.075482093954896,-111.975031579041,MAC Season 4: BAP water-deficit stress Aug 15-30,PI641807,19100.0,kg / ha
