date,plot,range,column,scientificname,genotype,treatment,blocking_height,method,aboveground_dry_biomass,units,method_type
2017-09-11,MAC Field Scanner Season 4 Range 20 Column 6,20,6,Sorghum bicolor,PI534120,MAC Season 4: BAP water-deficit stress Aug 1-14,short,Whole above ground biomass at harvest,3696,kg/ha,manual
2017-09-11,MAC Field Scanner Season 4 Range 30 Column 5,30,5,Sorghum bicolor,PI152727,MAC Season 4: BAP water-deficit stress Aug 1-14,tall,Whole above ground biomass at harvest,22040,kg/ha,manual
2017-09-15,MAC Field Scanner Season 4 Range 2 Column 14,2,14,Sorghum bicolor,Big_Kahuna,MAC Season 4: BAP water-deficit stress Aug 15-30,border,Whole above ground biomass at harvest,15240,kg/ha,manual
2017-09-15,MAC Field Scanner Season 4 Range 2 Column 15,2,15,Sorghum bicolor,SP1615,MAC Season 4: BAP water-deficit stress Aug 15-30,border,Whole above ground biomass at harvest,22630,kg/ha,manual
2017-09-15,MAC Field Scanner Season 4 Range 5 Column 13,5,13,Sorghum bicolor,PI563021,MAC Season 4: BAP water-deficit stress Aug 15-30,tall,Whole above ground biomass at harvest,12340,kg/ha,manual
2017-09-15,MAC Field Scanner Season 4 Range 6 Column 15,6,15,Sorghum bicolor,PI152733,MAC Season 4: BAP water-deficit stress Aug 15-30,tall,Whole above ground biomass at harvest,27270,kg/ha,manual
2017-09-15,MAC Field Scanner Season 4 Range 9 Column 12,9,12,Sorghum bicolor,PI257600,MAC Season 4: BAP water-deficit stress Aug 15-30,tall,Whole above ground biomass at harvest,23260,kg/ha,manual
2017-09-15,MAC Field Scanner Season 4 Range 12 Column 14,12,14,Sorghum bicolor,PI570109,MAC Season 4: BAP water-deficit stress Aug 15-30,medium,Whole above ground biomass at harvest,15130,kg/ha,manual
2017-09-15,MAC Field Scanner Season 4 Range 13 Column 12,13,12,Sorghum bicolor,PI514456,MAC Season 4: BAP water-deficit stress Aug 15-30,tall,Whole above ground biomass at harvest,16450,kg/ha,manual
2017-09-15,MAC Field Scanner Season 4 Range 13 Column 13,13,13,Sorghum bicolor,PI563032,MAC Season 4: BAP water-deficit stress Aug 15-30,tall,Whole above ground biomass at harvest,18720,kg/ha,manual
2017-09-15,MAC Field Scanner Season 4 Range 14 Column 14,14,14,Sorghum bicolor,PI156326,MAC Season 4: BAP water-deficit stress Aug 15-30,tall,Whole above ground biomass at harvest,18340,kg/ha,manual
2017-09-15,MAC Field Scanner Season 4 Range 14 Column 15,14,15,Sorghum bicolor,PI641850,MAC Season 4: BAP water-deficit stress Aug 15-30,tall,Whole above ground biomass at harvest,30060,kg/ha,manual
2017-09-15,MAC Field Scanner Season 4 Range 15 Column 12,15,12,Sorghum bicolor,PI154944,MAC Season 4: BAP water-deficit stress Aug 15-30,tall,Whole above ground biomass at harvest,31370,kg/ha,manual
2017-09-15,MAC Field Scanner Season 4 Range 24 Column 12,24,12,Sorghum bicolor,PI197542,MAC Season 4: BAP water-deficit stress Aug 15-30,medium,Whole above ground biomass at harvest,16440,kg/ha,manual
2017-09-15,MAC Field Scanner Season 4 Range 32 Column 15,32,15,Sorghum bicolor,PI297130,MAC Season 4: BAP water-deficit stress Aug 15-30,tall,Whole above ground biomass at harvest,18510,kg/ha,manual
2017-09-15,MAC Field Scanner Season 4 Range 33 Column 14,33,14,Sorghum bicolor,PI196586,MAC Season 4: BAP water-deficit stress Aug 15-30,medium,Whole above ground biomass at harvest,22790,kg/ha,manual
2017-09-15,MAC Field Scanner Season 4 Range 35 Column 13,35,13,Sorghum bicolor,PI570400,MAC Season 4: BAP water-deficit stress Aug 15-30,tall,Whole above ground biomass at harvest,29110,kg/ha,manual
2017-09-15,MAC Field Scanner Season 4 Range 36 Column 15,36,15,Sorghum bicolor,PI337680,MAC Season 4: BAP water-deficit stress Aug 15-30,tall,Whole above ground biomass at harvest,8185,kg/ha,manual
2017-09-15,MAC Field Scanner Season 4 Range 38 Column 14,38,14,Sorghum bicolor,PI218112,MAC Season 4: BAP water-deficit stress Aug 15-30,medium,Whole above ground biomass at harvest,14730,kg/ha,manual
2017-09-15,MAC Field Scanner Season 4 Range 43 Column 13,43,13,Sorghum bicolor,PI156330,MAC Season 4: BAP water-deficit stress Aug 15-30,tall,Whole above ground biomass at harvest,17580,kg/ha,manual
2017-09-15,MAC Field Scanner Season 4 Range 45 Column 12,45,12,Sorghum bicolor,PI506122,MAC Season 4: BAP water-deficit stress Aug 15-30,tall,Whole above ground biomass at harvest,24190,kg/ha,manual
2017-09-15,MAC Field Scanner Season 4 Range 45 Column 13,45,13,Sorghum bicolor,PI196049,MAC Season 4: BAP water-deficit stress Aug 15-30,tall,Whole above ground biomass at harvest,35310,kg/ha,manual
2017-09-15,MAC Field Scanner Season 4 Range 46 Column 15,46,15,Sorghum bicolor,PI533902,MAC Season 4: BAP water-deficit stress Aug 15-30,short,Whole above ground biomass at harvest,13780,kg/ha,manual
2017-09-15,MAC Field Scanner Season 4 Range 47 Column 15,47,15,Sorghum bicolor,PI506114,MAC Season 4: BAP water-deficit stress Aug 15-30,tall,Whole above ground biomass at harvest,16310,kg/ha,manual
