sitename,range,column,lat,lon,date,cultivar,aboveground_dry_biomass,units
MAC Field Scanner Season 6 Range 30 Column 13,30,13,33.0755899787607,-111.974851566542,2018-08-01,PI535792,8450.0,kg / ha
MAC Field Scanner Season 6 Range 16 Column 13,16,13,33.0750867893627,-111.97485133649499,2018-08-01,PI570074,7140.0,kg / ha
MAC Field Scanner Season 6 Range 19 Column 14,19,14,33.0751946210081,-111.974835016604,2018-08-01,PI570431,15600.0,kg / ha
MAC Field Scanner Season 6 Range 20 Column 6,20,6,33.0752305205902,-111.974965986664,2018-08-01,PI562981,13000.0,kg / ha
MAC Field Scanner Season 6 Range 22 Column 8,22,8,33.075302415444895,-111.97493328118799,2018-08-01,PI563021,8570.0,kg / ha
MAC Field Scanner Season 6 Range 30 Column 6,30,6,33.075589941608,-111.974966151481,2018-08-01,PI513898,14200.0,kg / ha
MAC Field Scanner Season 6 Range 31 Column 2,31,2,33.075625862357,-111.975031645049,2018-08-01,PI329843,3420.0,kg / ha
MAC Field Scanner Season 6 Range 20 Column 10,20,10,33.075230541834195,-111.97490050987699,2018-08-01,PI570073,9400.0,kg / ha
MAC Field Scanner Season 6 Range 30 Column 14,30,14,33.0755899840726,-111.974835197265,2018-08-01,PI576401,10500.0,kg / ha
MAC Field Scanner Season 6 Range 20 Column 9,20,9,33.0752305365151,-111.974916879087,2018-08-01,PI566819,17900.0,kg / ha
MAC Field Scanner Season 6 Range 30 Column 11,30,11,33.0755899681306,-111.974884305096,2018-08-01,PI534120,5670.0,kg / ha
MAC Field Scanner Season 6 Range 3 Column 9,3,9,33.0746195208441,-111.974916599347,2018-07-31,PI329440,1410.0,kg / ha
MAC Field Scanner Season 6 Range 4 Column 5,4,5,33.0746554416209,-111.97498209219201,2018-07-31,PI570110,9310.0,kg / ha
MAC Field Scanner Season 6 Range 4 Column 7,4,7,33.0746554522873,-111.974949354012,2018-07-31,PI570400,11800.0,kg / ha
MAC Field Scanner Season 6 Range 4 Column 8,4,8,33.0746554576087,-111.97493298490801,2018-07-31,PI329711,12300.0,kg / ha
MAC Field Scanner Season 6 Range 4 Column 11,4,11,33.0746554735602,-111.97488387759701,2018-07-31,PI521152,12200.0,kg / ha
MAC Field Scanner Season 6 Range 5 Column 7,5,7,33.0746913943708,-111.97494937048401,2018-07-31,PI569264,14000.0,kg / ha
MAC Field Scanner Season 6 Range 6 Column 12,6,12,33.0747273630411,-111.974867541371,2018-07-31,PI213900,10300.0,kg / ha
MAC Field Scanner Season 6 Range 7 Column 3,7,3,33.074763257319,-111.97501487986999,2018-07-31,PI330184,15900.0,kg / ha
MAC Field Scanner Season 6 Range 7 Column 11,7,11,33.0747632998116,-111.97488392693501,2018-07-31,PI452619,18500.0,kg / ha
MAC Field Scanner Season 6 Range 7 Column 13,7,13,33.074763310436,-111.974851188687,2018-07-31,PI154750,15300.0,kg / ha
MAC Field Scanner Season 6 Range 8 Column 15,8,15,33.0747992631356,-111.97481846685899,2018-08-01,PI329518,5970.0,kg / ha
MAC Field Scanner Season 6 Range 9 Column 10,9,10,33.0748351787532,-111.97490032891301,2018-08-01,PI329645,4970.0,kg / ha
MAC Field Scanner Season 6 Range 9 Column 12,9,12,33.0748351893649,-111.974867590665,2018-08-01,PI196598,14900.0,kg / ha
MAC Field Scanner Season 6 Range 10 Column 11,10,11,33.0748711261518,-111.974883976223,2018-08-01,PI569419,9210.0,kg / ha
MAC Field Scanner Season 6 Range 11 Column 14,11,14,33.074907084169396,-111.974834885219,2018-08-01,PI569462,9100.0,kg / ha
MAC Field Scanner Season 6 Range 12 Column 7,12,7,33.074942989130896,-111.97494948569401,2018-08-01,PI576399,8560.0,kg / ha
MAC Field Scanner Season 6 Range 12 Column 13,12,13,33.074943020942804,-111.97485127080499,2018-08-01,PI569422,7610.0,kg / ha
MAC Field Scanner Season 6 Range 13 Column 2,13,2,33.0749789045676,-111.97503134798599,2018-08-01,PI297171,9470.0,kg / ha
MAC Field Scanner Season 6 Range 14 Column 7,14,7,33.0750148732944,-111.974949518645,2018-08-01,PI641830,14900.0,kg / ha
MAC Field Scanner Season 6 Range 15 Column 9,15,9,33.0750508260194,-111.974916796767,2018-08-01,PI569460,9030.0,kg / ha
MAC Field Scanner Season 6 Range 15 Column 12,15,12,33.075050841968604,-111.97486768923599,2018-08-01,PI152591,6720.0,kg / ha
MAC Field Scanner Season 6 Range 18 Column 7,18,7,33.0751586417092,-111.97494958455201,2018-08-01,PI329864,10800.0,kg / ha
MAC Field Scanner Season 6 Range 19 Column 2,19,2,33.0751945572088,-111.97503144698901,2018-08-01,PI655983,13400.0,kg / ha
MAC Field Scanner Season 6 Range 19 Column 7,19,7,33.075194583772806,-111.974949601003,2018-08-01,PI213900,14100.0,kg / ha
MAC Field Scanner Season 6 Range 21 Column 15,21,15,33.0752665104791,-111.97481868025,2018-08-01,PI641860,8840.0,kg / ha
MAC Field Scanner Season 6 Range 22 Column 3,22,3,33.0753023888052,-111.975015127251,2018-08-01,PI511355,16800.0,kg / ha
MAC Field Scanner Season 6 Range 22 Column 9,22,9,33.075302420766505,-111.97491691196501,2018-08-01,PI156178,13400.0,kg / ha
MAC Field Scanner Season 6 Range 23 Column 2,23,2,33.0753383255727,-111.97503151299101,2018-08-01,PI329338,5680.0,kg / ha
MAC Field Scanner Season 6 Range 23 Column 10,23,10,33.0753383681661,-111.97490055920099,2018-08-01,PI619838,8500.0,kg / ha
MAC Field Scanner Season 6 Range 23 Column 12,23,12,33.0753383787813,-111.974867820767,2018-08-01,PI641807,14300.0,kg / ha
MAC Field Scanner Season 6 Range 24 Column 4,24,4,33.0753742783414,-111.97499879102699,2018-08-01,PI566819,7380.0,kg / ha
MAC Field Scanner Season 6 Range 24 Column 5,24,5,33.075374283649396,-111.974982421794,2018-08-01,PI152971,13500.0,kg / ha
MAC Field Scanner Season 6 Range 26 Column 4,26,4,33.0754461625443,-111.97499882402799,2018-08-01,PI329644,13800.0,kg / ha
MAC Field Scanner Season 6 Range 26 Column 7,26,7,33.075446178529894,-111.974949716278,2018-08-01,PI563009,7790.0,kg / ha
MAC Field Scanner Season 6 Range 26 Column 10,26,10,33.0754461944282,-111.97490060858499,2018-08-01,PI585406,8830.0,kg / ha
MAC Field Scanner Season 6 Range 27 Column 2,27,2,33.075482093954896,-111.975031579041,2018-08-01,PI329646,2480.0,kg / ha
MAC Field Scanner Season 6 Range 28 Column 4,28,4,33.0755180467014,-111.97499885703002,2018-08-01,PI563196,16200.0,kg / ha
MAC Field Scanner Season 6 Range 28 Column 8,28,8,33.0755180680121,-111.974933379977,2018-08-01,PI585961,14800.0,kg / ha
MAC Field Scanner Season 6 Range 28 Column 9,28,9,33.0755180733345,-111.974917010713,2018-08-01,PI646242,16700.0,kg / ha
MAC Field Scanner Season 6 Range 28 Column 10,28,10,33.075518078654596,-111.97490064145,2018-08-01,PI569427,8340.0,kg / ha
MAC Field Scanner Season 6 Range 28 Column 12,28,12,33.075518089305504,-111.97486790294901,2018-08-01,PI276837,14400.0,kg / ha
MAC Field Scanner Season 6 Range 28 Column 15,28,15,33.075518105155304,-111.97481879518801,2018-08-01,PI641835,11200.0,kg / ha
MAC Field Scanner Season 6 Range 29 Column 6,29,6,33.0755539994622,-111.974966134995,2018-08-01,PI521019,13000.0,kg / ha
MAC Field Scanner Season 6 Range 29 Column 8,29,8,33.0755540100909,-111.974933396451,2018-08-01,PI257600,14500.0,kg / ha
MAC Field Scanner Season 6 Range 29 Column 10,29,10,33.0755540207336,-111.974900657911,2018-08-01,PI156871,10700.0,kg / ha
MAC Field Scanner Season 6 Range 29 Column 12,29,12,33.075554031367695,-111.974867919371,2018-08-01,PI154846,17400.0,kg / ha
