date,plot,range,column,scientificname,genotype,method,aboveground_dry_biomass,units,method_type
2018-07-31,MAC Field Scanner Season 6 Range 3 Column 9,3,9,Sorghum bicolor,PI329440,Whole above ground biomass at harvest,1410,kg/ha,manual
2018-07-31,MAC Field Scanner Season 6 Range 4 Column 7,4,7,Sorghum bicolor,PI570400,Whole above ground biomass at harvest,11800,kg/ha,manual
2018-07-31,MAC Field Scanner Season 6 Range 4 Column 8,4,8,Sorghum bicolor,PI329711,Whole above ground biomass at harvest,12300,kg/ha,manual
2018-07-31,MAC Field Scanner Season 6 Range 4 Column 11,4,11,Sorghum bicolor,PI521152,Whole above ground biomass at harvest,12200,kg/ha,manual
2018-07-31,MAC Field Scanner Season 6 Range 5 Column 7,5,7,Sorghum bicolor,PI569264,Whole above ground biomass at harvest,14000,kg/ha,manual
2018-07-31,MAC Field Scanner Season 6 Range 5 Column 8,5,8,Sorghum bicolor,PI569420,Whole above ground biomass at harvest,8420,kg/ha,manual
2018-07-31,MAC Field Scanner Season 6 Range 6 Column 12,6,12,Sorghum bicolor,PI213900,Whole above ground biomass at harvest,10300,kg/ha,manual
2018-07-31,MAC Field Scanner Season 6 Range 7 Column 3,7,3,Sorghum bicolor,PI330184,Whole above ground biomass at harvest,15900,kg/ha,manual
2018-07-31,MAC Field Scanner Season 6 Range 7 Column 11,7,11,Sorghum bicolor,PI452619,Whole above ground biomass at harvest,18500,kg/ha,manual
2018-07-31,MAC Field Scanner Season 6 Range 7 Column 13,7,13,Sorghum bicolor,PI154750,Whole above ground biomass at harvest,15300,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 8 Column 15,8,15,Sorghum bicolor,PI329518,Whole above ground biomass at harvest,5970,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 9 Column 10,9,10,Sorghum bicolor,PI329645,Whole above ground biomass at harvest,4970,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 9 Column 12,9,12,Sorghum bicolor,PI196598,Whole above ground biomass at harvest,14900,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 10 Column 5,10,5,Sorghum bicolor,PI562985,Whole above ground biomass at harvest,8240,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 10 Column 11,10,11,Sorghum bicolor,PI569419,Whole above ground biomass at harvest,9210,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 11 Column 14,11,14,Sorghum bicolor,PI569462,Whole above ground biomass at harvest,9100,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 12 Column 7,12,7,Sorghum bicolor,PI576399,Whole above ground biomass at harvest,8560,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 12 Column 13,12,13,Sorghum bicolor,PI569422,Whole above ground biomass at harvest,7610,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 13 Column 2,13,2,Sorghum bicolor,PI297171,Whole above ground biomass at harvest,9470,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 14 Column 7,14,7,Sorghum bicolor,PI641830,Whole above ground biomass at harvest,14900,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 15 Column 9,15,9,Sorghum bicolor,PI569460,Whole above ground biomass at harvest,9030,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 15 Column 12,15,12,Sorghum bicolor,PI152591,Whole above ground biomass at harvest,6720,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 18 Column 7,18,7,Sorghum bicolor,PI329864,Whole above ground biomass at harvest,10800,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 19 Column 2,19,2,Sorghum bicolor,PI655983,Whole above ground biomass at harvest,13400,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 19 Column 7,19,7,Sorghum bicolor,PI213900,Whole above ground biomass at harvest,14100,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 21 Column 9,21,9,Sorghum bicolor,PI641835,Whole above ground biomass at harvest,18200,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 21 Column 15,21,15,Sorghum bicolor,PI641860,Whole above ground biomass at harvest,8840,kg/ha,manual
