date,sitename,city,lat,lon,scientificname,cultivar,aboveground_dry_biomass,units
2014-09-02 19:00:00-05:00,Clemson University Pee Dee Research and Education Center,Florence,34.289,-79.737,Sorghum bicolor,PI197542,5380.0,kg / ha
2014-08-30 19:00:00-05:00,Clemson University Pee Dee Research and Education Center,Florence,34.289,-79.737,Sorghum bicolor,PI365512,6090.0,kg / ha
2014-08-23 19:00:00-05:00,Clemson University Pee Dee Research and Education Center,Florence,34.289,-79.737,Sorghum bicolor,PI533998,6090.0,kg / ha
2014-09-16 19:00:00-05:00,Clemson University Pee Dee Research and Education Center,Florence,34.289,-79.737,Sorghum bicolor,PI533792,6990.0,kg / ha
2014-09-17 19:00:00-05:00,Clemson University Pee Dee Research and Education Center,Florence,34.289,-79.737,Sorghum bicolor,PI655978,6990.0,kg / ha
2014-08-23 19:00:00-05:00,Clemson University Pee Dee Research and Education Center,Florence,34.289,-79.737,Sorghum bicolor,PI593916,7350.0,kg / ha
2014-08-31 19:00:00-05:00,Clemson University Pee Dee Research and Education Center,Florence,34.289,-79.737,Sorghum bicolor,PI656026,7350.0,kg / ha
2014-08-17 19:00:00-05:00,Clemson University Pee Dee Research and Education Center,Florence,34.289,-79.737,Sorghum bicolor,PI181899,7710.0,kg / ha
2014-08-31 19:00:00-05:00,Clemson University Pee Dee Research and Education Center,Florence,34.289,-79.737,Sorghum bicolor,PI329435,7710.0,kg / ha
2014-08-17 19:00:00-05:00,Clemson University Pee Dee Research and Education Center,Florence,34.289,-79.737,Sorghum bicolor,PI576399,7710.0,kg / ha
2014-09-06 19:00:00-05:00,Clemson University Pee Dee Research and Education Center,Florence,34.289,-79.737,Sorghum bicolor,PI52606,8060.0,kg / ha
2014-08-17 19:00:00-05:00,Clemson University Pee Dee Research and Education Center,Florence,34.289,-79.737,Sorghum bicolor,PI550604,8240.0,kg / ha
2014-08-31 19:00:00-05:00,Clemson University Pee Dee Research and Education Center,Florence,34.289,-79.737,Sorghum bicolor,PI154988,8600.0,kg / ha
2014-08-25 19:00:00-05:00,Clemson University Pee Dee Research and Education Center,Florence,34.289,-79.737,Sorghum bicolor,PI534165,8600.0,kg / ha
2014-08-23 19:00:00-05:00,Clemson University Pee Dee Research and Education Center,Florence,34.289,-79.737,Sorghum bicolor,PI561840,8780.0,kg / ha
2014-08-31 19:00:00-05:00,Clemson University Pee Dee Research and Education Center,Florence,34.289,-79.737,Sorghum bicolor,PI534120,9500.0,kg / ha
2014-09-04 19:00:00-05:00,Clemson University Pee Dee Research and Education Center,Florence,34.289,-79.737,Sorghum bicolor,PI564163,9680.0,kg / ha
2014-08-25 19:00:00-05:00,Clemson University Pee Dee Research and Education Center,Florence,34.289,-79.737,Sorghum bicolor,PI297155,10200.0,kg / ha
2014-08-21 19:00:00-05:00,Clemson University Pee Dee Research and Education Center,Florence,34.289,-79.737,Sorghum bicolor,PI535792,10200.0,kg / ha
2014-08-21 19:00:00-05:00,Clemson University Pee Dee Research and Education Center,Florence,34.289,-79.737,Sorghum bicolor,PI540518,10600.0,kg / ha
2014-08-27 19:00:00-05:00,Clemson University Pee Dee Research and Education Center,Florence,34.289,-79.737,Sorghum bicolor,PI181083,10900.0,kg / ha
2014-08-17 19:00:00-05:00,Clemson University Pee Dee Research and Education Center,Florence,34.289,-79.737,Sorghum bicolor,PI542718,10900.0,kg / ha
2014-08-30 19:00:00-05:00,Clemson University Pee Dee Research and Education Center,Florence,34.289,-79.737,Sorghum bicolor,PI526905,11100.0,kg / ha
2014-08-25 19:00:00-05:00,Clemson University Pee Dee Research and Education Center,Florence,34.289,-79.737,Sorghum bicolor,PI157804,11500.0,kg / ha
2014-08-29 19:00:00-05:00,Clemson University Pee Dee Research and Education Center,Florence,34.289,-79.737,Sorghum bicolor,PI179749,11500.0,kg / ha
2014-09-07 19:00:00-05:00,Clemson University Pee Dee Research and Education Center,Florence,34.289,-79.737,Sorghum bicolor,PI300119,11600.0,kg / ha
2014-08-31 19:00:00-05:00,Clemson University Pee Dee Research and Education Center,Florence,34.289,-79.737,Sorghum bicolor,PI535794,11600.0,kg / ha
2014-09-06 19:00:00-05:00,Clemson University Pee Dee Research and Education Center,Florence,34.289,-79.737,Sorghum bicolor,PI213900,11800.0,kg / ha
2014-08-21 19:00:00-05:00,Clemson University Pee Dee Research and Education Center,Florence,34.289,-79.737,Sorghum bicolor,PI181080,12000.0,kg / ha
2014-08-17 19:00:00-05:00,Clemson University Pee Dee Research and Education Center,Florence,34.289,-79.737,Sorghum bicolor,PI253986,12000.0,kg / ha
2014-08-17 19:00:00-05:00,Clemson University Pee Dee Research and Education Center,Florence,34.289,-79.737,Sorghum bicolor,PI533902,12000.0,kg / ha
2014-09-06 19:00:00-05:00,Clemson University Pee Dee Research and Education Center,Florence,34.289,-79.737,Sorghum bicolor,PI576401,12000.0,kg / ha
2014-09-04 19:00:00-05:00,Clemson University Pee Dee Research and Education Center,Florence,34.289,-79.737,Sorghum bicolor,PI226096,12200.0,kg / ha
2014-08-17 19:00:00-05:00,Clemson University Pee Dee Research and Education Center,Florence,34.289,-79.737,Sorghum bicolor,PI92270,12200.0,kg / ha
