sitename,city,lat,lon,trait_description,cultivar,days_to_flowering,gdd_to_flowering,date_of_flowering
Clemson University Pee Dee Research and Education Center,Florence,34.289,-79.737,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",PI181899,68.0,1051.0,2014-07-13
Clemson University Pee Dee Research and Education Center,Florence,34.289,-79.737,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",PI542718,68.0,1051.0,2014-07-13
Clemson University Pee Dee Research and Education Center,Florence,34.289,-79.737,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",PI641830,68.0,1051.0,2014-07-13
Clemson University Pee Dee Research and Education Center,Florence,34.289,-79.737,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",PI641836,68.0,1051.0,2014-07-13
Clemson University Pee Dee Research and Education Center,Florence,34.289,-79.737,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",PI218112,69.0,1069.0,2014-07-14
Clemson University Pee Dee Research and Education Center,Florence,34.289,-79.737,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",PI253986,69.0,1069.0,2014-07-14
Clemson University Pee Dee Research and Education Center,Florence,34.289,-79.737,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",PI535795,69.0,1069.0,2014-07-14
Clemson University Pee Dee Research and Education Center,Florence,34.289,-79.737,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",PI540518,69.0,1069.0,2014-07-14
Clemson University Pee Dee Research and Education Center,Florence,34.289,-79.737,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",PI550604,69.0,1069.0,2014-07-14
Clemson University Pee Dee Research and Education Center,Florence,34.289,-79.737,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",PI655972,69.0,1069.0,2014-07-14
Clemson University Pee Dee Research and Education Center,Florence,34.289,-79.737,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",PI656015,69.0,1069.0,2014-07-14
Clemson University Pee Dee Research and Education Center,Florence,34.289,-79.737,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",PI180348,70.0,1088.0,2014-07-15
Clemson University Pee Dee Research and Education Center,Florence,34.289,-79.737,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",PI181083,70.0,1088.0,2014-07-15
Clemson University Pee Dee Research and Education Center,Florence,34.289,-79.737,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",PI535783,70.0,1088.0,2014-07-15
Clemson University Pee Dee Research and Education Center,Florence,34.289,-79.737,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",PI576399,70.0,1088.0,2014-07-15
Clemson University Pee Dee Research and Education Center,Florence,34.289,-79.737,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",PI593916,70.0,1088.0,2014-07-15
Clemson University Pee Dee Research and Education Center,Florence,34.289,-79.737,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",PI92270,70.0,1088.0,2014-07-15
Clemson University Pee Dee Research and Education Center,Florence,34.289,-79.737,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",PI157804,71.0,1104.0,2014-07-16
Clemson University Pee Dee Research and Education Center,Florence,34.289,-79.737,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",PI179749,71.0,1104.0,2014-07-16
Clemson University Pee Dee Research and Education Center,Florence,34.289,-79.737,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",PI365512,71.0,1104.0,2014-07-16
Clemson University Pee Dee Research and Education Center,Florence,34.289,-79.737,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",PI641817,71.0,1104.0,2014-07-16
Clemson University Pee Dee Research and Education Center,Florence,34.289,-79.737,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",PI656065,71.0,1104.0,2014-07-16
