sitename,range,column,lat,lon,treatment,trait_description,cultivar,days_to_flag_leaf_emergence,date_of_flag_leaf_emergence,gdd_to_flag_leaf_emergence
MAC Field Scanner Season 4 Range 12 Column 13,12,13,33.074943020942804,-111.97485127080499,MAC Season 4: BAP water-deficit stress Aug 15-30,"Number days from sowing to the date when 50% of the plants in a plot have reached flag leaf emergence (ligulation) stage. Flag leaf is the last leaf to emerge from the whorl, positioned directly below the panicle.",PI641824,70.0,2017-06-29,1250.0
MAC Field Scanner Season 4 Range 33 Column 13,33,13,33.0756978050871,-111.974851615872,MAC Season 4: BAP water-deficit stress Aug 15-30,"Number days from sowing to the date when 50% of the plants in a plot have reached flag leaf emergence (ligulation) stage. Flag leaf is the last leaf to emerge from the whorl, positioned directly below the panicle.",PI170787,70.0,2017-06-29,1250.0
MAC Field Scanner Season 4 Range 38 Column 14,38,14,33.0758775208627,-111.97483532873699,MAC Season 4: BAP water-deficit stress Aug 15-30,"Number days from sowing to the date when 50% of the plants in a plot have reached flag leaf emergence (ligulation) stage. Flag leaf is the last leaf to emerge from the whorl, positioned directly below the panicle.",PI218112,50.0,2017-06-09,799.0
MAC Field Scanner Season 4 Range 51 Column 13,51,13,33.0763447627876,-111.974851911781,MAC Season 4: BAP water-deficit stress Aug 15-30,"Number days from sowing to the date when 50% of the plants in a plot have reached flag leaf emergence (ligulation) stage. Flag leaf is the last leaf to emerge from the whorl, positioned directly below the panicle.",PI641836,58.0,2017-06-17,946.0
MAC Field Scanner Season 4 Range 10 Column 2,10,2,33.0748710783232,-111.975031298461,MAC Season 4: BAP water-deficit stress Aug 15-30,"Number days from sowing to the date when 50% of the plants in a plot have reached flag leaf emergence (ligulation) stage. Flag leaf is the last leaf to emerge from the whorl, positioned directly below the panicle.",PI641807,77.0,2017-07-06,1420.0
MAC Field Scanner Season 4 Range 11 Column 9,11,9,33.0749070576007,-111.97491673097099,MAC Season 4: BAP water-deficit stress Aug 15-30,"Number days from sowing to the date when 50% of the plants in a plot have reached flag leaf emergence (ligulation) stage. Flag leaf is the last leaf to emerge from the whorl, positioned directly below the panicle.",PI52606,62.0,2017-06-21,1050.0
MAC Field Scanner Season 4 Range 5 Column 14,5,14,33.0746914315767,-111.974834786711,MAC Season 4: BAP water-deficit stress Aug 15-30,"Number days from sowing to the date when 50% of the plants in a plot have reached flag leaf emergence (ligulation) stage. Flag leaf is the last leaf to emerge from the whorl, positioned directly below the panicle.",PI653617,56.0,2017-06-15,904.0
MAC Field Scanner Season 4 Range 29 Column 3,29,3,33.0755539835366,-111.97501524280199,MAC Season 4: BAP water-deficit stress Aug 15-30,"Number days from sowing to the date when 50% of the plants in a plot have reached flag leaf emergence (ligulation) stage. Flag leaf is the last leaf to emerge from the whorl, positioned directly below the panicle.",PI92270,56.0,2017-06-15,904.0
MAC Field Scanner Season 4 Range 29 Column 4,29,4,33.075553988847105,-111.97499887352801,MAC Season 4: BAP water-deficit stress Aug 15-30,"Number days from sowing to the date when 50% of the plants in a plot have reached flag leaf emergence (ligulation) stage. Flag leaf is the last leaf to emerge from the whorl, positioned directly below the panicle.",PI641829,70.0,2017-06-29,1250.0
MAC Field Scanner Season 4 Range 31 Column 9,31,9,33.0756258996379,-111.974917060116,MAC Season 4: BAP water-deficit stress Aug 15-30,"Number days from sowing to the date when 50% of the plants in a plot have reached flag leaf emergence (ligulation) stage. Flag leaf is the last leaf to emerge from the whorl, positioned directly below the panicle.",PI217691,62.0,2017-06-21,1050.0
MAC Field Scanner Season 4 Range 51 Column 4,51,4,33.076344714901296,-111.974999236454,MAC Season 4: BAP water-deficit stress Aug 15-30,"Number days from sowing to the date when 50% of the plants in a plot have reached flag leaf emergence (ligulation) stage. Flag leaf is the last leaf to emerge from the whorl, positioned directly below the panicle.",PI586435,62.0,2017-06-21,1050.0
MAC Field Scanner Season 4 Range 7 Column 8,7,8,33.0747632839269,-111.974933034249,MAC Season 4: BAP water-deficit stress Aug 1-14,"Number days from sowing to the date when 50% of the plants in a plot have reached flag leaf emergence (ligulation) stage. Flag leaf is the last leaf to emerge from the whorl, positioned directly below the panicle.",PI152694,62.0,2017-06-21,1050.0
MAC Field Scanner Season 4 Range 46 Column 8,46,8,33.076165025759394,-111.974933676481,MAC Season 4: BAP water-deficit stress Aug 1-14,"Number days from sowing to the date when 50% of the plants in a plot have reached flag leaf emergence (ligulation) stage. Flag leaf is the last leaf to emerge from the whorl, positioned directly below the panicle.",PI576399,70.0,2017-06-29,1250.0
MAC Field Scanner Season 4 Range 20 Column 8,20,8,33.0752305311768,-111.97493324827101,MAC Season 4: BAP water-deficit stress Aug 1-14,"Number days from sowing to the date when 50% of the plants in a plot have reached flag leaf emergence (ligulation) stage. Flag leaf is the last leaf to emerge from the whorl, positioned directly below the panicle.",PI655972,70.0,2017-06-29,1250.0
MAC Field Scanner Season 4 Range 11 Column 5,11,5,33.0749070363977,-111.97498220751899,MAC Season 4: BAP water-deficit stress Aug 1-14,"Number days from sowing to the date when 50% of the plants in a plot have reached flag leaf emergence (ligulation) stage. Flag leaf is the last leaf to emerge from the whorl, positioned directly below the panicle.",PI181083,46.0,2017-06-05,712.0
MAC Field Scanner Season 4 Range 11 Column 6,11,6,33.0749070417016,-111.97496583836501,MAC Season 4: BAP water-deficit stress Aug 1-14,"Number days from sowing to the date when 50% of the plants in a plot have reached flag leaf emergence (ligulation) stage. Flag leaf is the last leaf to emerge from the whorl, positioned directly below the panicle.",PI564163,62.0,2017-06-21,1050.0
MAC Field Scanner Season 4 Range 20 Column 5,20,5,33.0752305152848,-111.97498235587099,MAC Season 4: BAP water-deficit stress Aug 1-14,"Number days from sowing to the date when 50% of the plants in a plot have reached flag leaf emergence (ligulation) stage. Flag leaf is the last leaf to emerge from the whorl, positioned directly below the panicle.",PI593916,56.0,2017-06-15,904.0
MAC Field Scanner Season 4 Range 20 Column 10,20,10,33.075230541834195,-111.97490050987699,MAC Season 4: BAP water-deficit stress Aug 15-30,"Number days from sowing to the date when 50% of the plants in a plot have reached flag leaf emergence (ligulation) stage. Flag leaf is the last leaf to emerge from the whorl, positioned directly below the panicle.",PI550604,56.0,2017-06-15,904.0
MAC Field Scanner Season 4 Range 16 Column 7,16,7,33.0750867575246,-111.97494955159401,MAC Season 4: BAP water-deficit stress Aug 1-14,"Number days from sowing to the date when 50% of the plants in a plot have reached flag leaf emergence (ligulation) stage. Flag leaf is the last leaf to emerge from the whorl, positioned directly below the panicle.",PI152651,41.0,2017-05-31,608.0
MAC Field Scanner Season 4 Range 46 Column 6,46,6,33.0761650150868,-111.97496641522,MAC Season 4: BAP water-deficit stress Aug 1-14,"Number days from sowing to the date when 50% of the plants in a plot have reached flag leaf emergence (ligulation) stage. Flag leaf is the last leaf to emerge from the whorl, positioned directly below the panicle.",PI542718,50.0,2017-06-09,799.0
MAC Field Scanner Season 4 Range 50 Column 7,50,7,33.0763087888217,-111.974950111768,MAC Season 4: BAP water-deficit stress Aug 1-14,"Number days from sowing to the date when 50% of the plants in a plot have reached flag leaf emergence (ligulation) stage. Flag leaf is the last leaf to emerge from the whorl, positioned directly below the panicle.",PI154988,70.0,2017-06-29,1250.0
MAC Field Scanner Season 4 Range 27 Column 7,27,7,33.075482120608896,-111.974949732759,MAC Season 4: BAP water-deficit stress Aug 1-14,"Number days from sowing to the date when 50% of the plants in a plot have reached flag leaf emergence (ligulation) stage. Flag leaf is the last leaf to emerge from the whorl, positioned directly below the panicle.",PI196586,77.0,2017-07-06,1420.0
MAC Field Scanner Season 4 Range 29 Column 6,29,6,33.0755539994622,-111.974966134995,MAC Season 4: BAP water-deficit stress Aug 1-14,"Number days from sowing to the date when 50% of the plants in a plot have reached flag leaf emergence (ligulation) stage. Flag leaf is the last leaf to emerge from the whorl, positioned directly below the panicle.",PI297155,76.0,2017-07-05,1394.0
