sitename,range,column,lat,lon,treatment,trait_description,cultivar,days_to_flowering,date_of_flowering,gdd_to_flowering
MAC Field Scanner Season 4 Range 12 Column 13,12,13,33.074943020942804,-111.97485127080499,MAC Season 4: BAP water-deficit stress Aug 15-30,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",PI641824,78.0,2017-07-07,1448.0
MAC Field Scanner Season 4 Range 33 Column 13,33,13,33.0756978050871,-111.974851615872,MAC Season 4: BAP water-deficit stress Aug 15-30,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",PI170787,72.0,2017-07-01,1296.0
MAC Field Scanner Season 4 Range 38 Column 14,38,14,33.0758775208627,-111.97483532873699,MAC Season 4: BAP water-deficit stress Aug 15-30,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",PI218112,56.0,2017-06-15,904.0
MAC Field Scanner Season 4 Range 5 Column 14,5,14,33.0746914315767,-111.974834786711,MAC Season 4: BAP water-deficit stress Aug 15-30,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",PI653617,62.0,2017-06-21,1050.0
MAC Field Scanner Season 4 Range 11 Column 9,11,9,33.0749070576007,-111.97491673097099,MAC Season 4: BAP water-deficit stress Aug 15-30,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",PI52606,68.0,2017-06-27,1204.0
MAC Field Scanner Season 4 Range 29 Column 3,29,3,33.0755539835366,-111.97501524280199,MAC Season 4: BAP water-deficit stress Aug 15-30,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",PI92270,62.0,2017-06-21,1050.0
MAC Field Scanner Season 4 Range 29 Column 4,29,4,33.075553988847105,-111.97499887352801,MAC Season 4: BAP water-deficit stress Aug 15-30,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",PI641829,74.0,2017-07-03,1343.0
MAC Field Scanner Season 4 Range 31 Column 9,31,9,33.0756258996379,-111.974917060116,MAC Season 4: BAP water-deficit stress Aug 15-30,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",PI217691,64.0,2017-06-23,1100.0
MAC Field Scanner Season 4 Range 20 Column 8,20,8,33.0752305311768,-111.97493324827101,MAC Season 4: BAP water-deficit stress Aug 1-14,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",PI655972,72.0,2017-07-01,1296.0
MAC Field Scanner Season 4 Range 7 Column 8,7,8,33.0747632839269,-111.974933034249,MAC Season 4: BAP water-deficit stress Aug 1-14,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",PI152694,64.0,2017-06-23,1100.0
MAC Field Scanner Season 4 Range 46 Column 8,46,8,33.076165025759394,-111.974933676481,MAC Season 4: BAP water-deficit stress Aug 1-14,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",PI576399,72.0,2017-07-01,1296.0
MAC Field Scanner Season 4 Range 11 Column 5,11,5,33.0749070363977,-111.97498220751899,MAC Season 4: BAP water-deficit stress Aug 1-14,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",PI181083,54.0,2017-06-13,869.0
MAC Field Scanner Season 4 Range 11 Column 6,11,6,33.0749070417016,-111.97496583836501,MAC Season 4: BAP water-deficit stress Aug 1-14,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",PI564163,68.0,2017-06-27,1204.0
MAC Field Scanner Season 4 Range 20 Column 5,20,5,33.0752305152848,-111.97498235587099,MAC Season 4: BAP water-deficit stress Aug 1-14,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",PI593916,63.0,2017-06-22,1076.0
