date,sitename,range,pass,lat,lon,cultivar,trait_description,canopy_height_cm
2016-07-15 00:00:00-05:00,Ashland Bottoms KSU 2016 Season Range 24 Pass 15,24,15,39.1397100270389,-96.6315277457293,PI267573,"top of the general canopy of the plant, discounting any exceptional branches, leaves or photosynthetic portions of the inflorescence.",46.3
2016-07-15 00:00:00-05:00,Ashland Bottoms KSU 2016 Season Range 6 Pass 12,6,12,39.1390670439025,-96.6316249518845,PI655978,"top of the general canopy of the plant, discounting any exceptional branches, leaves or photosynthetic portions of the inflorescence.",47.3
2016-07-15 00:00:00-05:00,Ashland Bottoms KSU 2016 Season Range 8 Pass 26,8,26,39.1391341392429,-96.6311317206674,PI655981,"top of the general canopy of the plant, discounting any exceptional branches, leaves or photosynthetic portions of the inflorescence.",56.0
2016-07-15 00:00:00-05:00,Ashland Bottoms KSU 2016 Season Range 5 Pass 22,5,22,39.1390290178065,-96.63127220883021,PI655972,"top of the general canopy of the plant, discounting any exceptional branches, leaves or photosynthetic portions of the inflorescence.",44.3
2016-07-15 00:00:00-05:00,Ashland Bottoms KSU 2016 Season Range 7 Pass 2,7,2,39.1391049402415,-96.6319785033317,PI655972,"top of the general canopy of the plant, discounting any exceptional branches, leaves or photosynthetic portions of the inflorescence.",45.0
2016-07-15 00:00:00-05:00,Ashland Bottoms KSU 2016 Season Range 12 Pass 5,12,5,39.1392842177386,-96.6318745956205,PI653616,"top of the general canopy of the plant, discounting any exceptional branches, leaves or photosynthetic portions of the inflorescence.",49.0
2016-07-15 00:00:00-05:00,Ashland Bottoms KSU 2016 Season Range 12 Pass 17,12,17,39.13928063206129,-96.63145228328501,PI653617,"top of the general canopy of the plant, discounting any exceptional branches, leaves or photosynthetic portions of the inflorescence.",40.7
2016-07-15 00:00:00-05:00,Ashland Bottoms KSU 2016 Season Range 13 Pass 11,13,11,39.13931774059329,-96.6316631624584,PI653617,"top of the general canopy of the plant, discounting any exceptional branches, leaves or photosynthetic portions of the inflorescence.",49.3
2016-07-15 00:00:00-05:00,Ashland Bottoms KSU 2016 Season Range 33 Pass 3,33,3,39.1400342891238,-96.63195403598259,PI646266,"top of the general canopy of the plant, discounting any exceptional branches, leaves or photosynthetic portions of the inflorescence.",43.0
2016-07-15 00:00:00-05:00,Ashland Bottoms KSU 2016 Season Range 9 Pass 17,9,17,39.13917204149271,-96.6314510638061,PI651495,"top of the general canopy of the plant, discounting any exceptional branches, leaves or photosynthetic portions of the inflorescence.",47.0
2016-07-15 00:00:00-05:00,Ashland Bottoms KSU 2016 Season Range 12 Pass 3,12,3,39.139284812091,-96.6319453887448,PI651495,"top of the general canopy of the plant, discounting any exceptional branches, leaves or photosynthetic portions of the inflorescence.",39.3
2016-07-15 00:00:00-05:00,Ashland Bottoms KSU 2016 Season Range 8 Pass 13,8,13,39.13913770951879,-96.63159093006858,PI651496,"top of the general canopy of the plant, discounting any exceptional branches, leaves or photosynthetic portions of the inflorescence.",38.3
2016-07-15 00:00:00-05:00,Ashland Bottoms KSU 2016 Season Range 12 Pass 25,12,25,39.139278224406794,-96.6311687564736,PI651496,"top of the general canopy of the plant, discounting any exceptional branches, leaves or photosynthetic portions of the inflorescence.",54.0
2016-07-15 00:00:00-05:00,Ashland Bottoms KSU 2016 Season Range 21 Pass 4,21,4,39.139605971961004,-96.63191376216422,PI643016,"top of the general canopy of the plant, discounting any exceptional branches, leaves or photosynthetic portions of the inflorescence.",37.0
2016-07-15 00:00:00-05:00,Ashland Bottoms KSU 2016 Season Range 35 Pass 22,35,22,39.14009876468071,-96.6312854211426,PI646242,"top of the general canopy of the plant, discounting any exceptional branches, leaves or photosynthetic portions of the inflorescence.",47.0
2016-07-15 00:00:00-05:00,Ashland Bottoms KSU 2016 Season Range 32 Pass 4,32,4,39.139997282608704,-96.6319185171859,PI646251,"top of the general canopy of the plant, discounting any exceptional branches, leaves or photosynthetic portions of the inflorescence.",35.3
2016-07-15 00:00:00-05:00,Ashland Bottoms KSU 2016 Season Range 14 Pass 18,14,18,39.1393515075416,-96.6314175220076,PI642998,"top of the general canopy of the plant, discounting any exceptional branches, leaves or photosynthetic portions of the inflorescence.",43.3
2016-07-15 00:00:00-05:00,Ashland Bottoms KSU 2016 Season Range 10 Pass 9,10,9,39.1392109591941,-96.63173338115759,PI641850,"top of the general canopy of the plant, discounting any exceptional branches, leaves or photosynthetic portions of the inflorescence.",45.7
2016-07-15 00:00:00-05:00,Ashland Bottoms KSU 2016 Season Range 8 Pass 8,8,8,39.1391390871656,-96.63176802012751,PI641860,"top of the general canopy of the plant, discounting any exceptional branches, leaves or photosynthetic portions of the inflorescence.",43.0
2016-07-15 00:00:00-05:00,Ashland Bottoms KSU 2016 Season Range 13 Pass 21,13,21,39.1393149202495,-96.63131126152192,PI641860,"top of the general canopy of the plant, discounting any exceptional branches, leaves or photosynthetic portions of the inflorescence.",42.3
2016-07-15 00:00:00-05:00,Ashland Bottoms KSU 2016 Season Range 14 Pass 15,14,15,39.139352330107705,-96.6315234451325,PI656035,"top of the general canopy of the plant, discounting any exceptional branches, leaves or photosynthetic portions of the inflorescence.",50.3
2016-07-15 00:00:00-05:00,Ashland Bottoms KSU 2016 Season Range 11 Pass 23,11,23,39.1392428882162,-96.6312395406231,PI641892,"top of the general canopy of the plant, discounting any exceptional branches, leaves or photosynthetic portions of the inflorescence.",50.7
2016-07-15 00:00:00-05:00,Ashland Bottoms KSU 2016 Season Range 8 Pass 3,8,3,39.1391404462499,-96.63194372391979,PI656015,"top of the general canopy of the plant, discounting any exceptional branches, leaves or photosynthetic portions of the inflorescence.",43.3
2016-07-15 00:00:00-05:00,Ashland Bottoms KSU 2016 Season Range 2 Pass 2,2,2,39.1389281130879,-96.63197630305821,Richardson,"top of the general canopy of the plant, discounting any exceptional branches, leaves or photosynthetic portions of the inflorescence.",49.0
2016-07-15 00:00:00-05:00,Ashland Bottoms KSU 2016 Season Range 13 Pass 14,13,14,39.1393169018428,-96.6315585096289,Richardson,"top of the general canopy of the plant, discounting any exceptional branches, leaves or photosynthetic portions of the inflorescence.",45.0
2016-07-15 00:00:00-05:00,Ashland Bottoms KSU 2016 Season Range 13 Pass 2,13,2,39.1393202923514,-96.6319811817895,Richardson,"top of the general canopy of the plant, discounting any exceptional branches, leaves or photosynthetic portions of the inflorescence.",48.7
2016-07-15 00:00:00-05:00,Ashland Bottoms KSU 2016 Season Range 11 Pass 3,11,3,39.13924836611321,-96.6319449620057,Richardson,"top of the general canopy of the plant, discounting any exceptional branches, leaves or photosynthetic portions of the inflorescence.",45.7
2016-07-15 00:00:00-05:00,Ashland Bottoms KSU 2016 Season Range 12 Pass 1,12,1,39.1392854030622,-96.63201508849029,Richardson,"top of the general canopy of the plant, discounting any exceptional branches, leaves or photosynthetic portions of the inflorescence.",45.7
2016-07-15 00:00:00-05:00,Ashland Bottoms KSU 2016 Season Range 10 Pass 1,10,1,39.1392137511541,-96.6320141195619,Richardson,"top of the general canopy of the plant, discounting any exceptional branches, leaves or photosynthetic portions of the inflorescence.",52.3
2016-07-15 00:00:00-05:00,Ashland Bottoms KSU 2016 Season Range 10 Pass 27,10,27,39.1392046291113,-96.6310977668334,Richardson,"top of the general canopy of the plant, discounting any exceptional branches, leaves or photosynthetic portions of the inflorescence.",52.3
2016-07-15 00:00:00-05:00,Ashland Bottoms KSU 2016 Season Range 6 Pass 22,6,22,39.1390643036778,-96.6312726492839,Richardson,"top of the general canopy of the plant, discounting any exceptional branches, leaves or photosynthetic portions of the inflorescence.",34.7
2016-07-15 00:00:00-05:00,Ashland Bottoms KSU 2016 Season Range 6 Pass 27,6,27,39.1390629229017,-96.6310959336529,Richardson,"top of the general canopy of the plant, discounting any exceptional branches, leaves or photosynthetic portions of the inflorescence.",51.3
2016-07-15 00:00:00-05:00,Ashland Bottoms KSU 2016 Season Range 8 Pass 1,8,1,39.139140985412396,-96.63201315617219,Richardson,"top of the general canopy of the plant, discounting any exceptional branches, leaves or photosynthetic portions of the inflorescence.",59.7
2016-07-15 00:00:00-05:00,Ashland Bottoms KSU 2016 Season Range 8 Pass 11,8,11,39.13913825329671,-96.6316608649511,Richardson,"top of the general canopy of the plant, discounting any exceptional branches, leaves or photosynthetic portions of the inflorescence.",42.0
2016-07-15 00:00:00-05:00,Ashland Bottoms KSU 2016 Season Range 3 Pass 23,3,23,39.1389574704234,-96.6312362717223,Richardson,"top of the general canopy of the plant, discounting any exceptional branches, leaves or photosynthetic portions of the inflorescence.",54.3
2016-07-15 00:00:00-05:00,Ashland Bottoms KSU 2016 Season Range 3 Pass 6,3,6,39.138962159027706,-96.6318354635544,Richardson,"top of the general canopy of the plant, discounting any exceptional branches, leaves or photosynthetic portions of the inflorescence.",52.7
2016-07-15 00:00:00-05:00,Ashland Bottoms KSU 2016 Season Range 4 Pass 1,4,1,39.1389986427559,-96.6320112451441,Richardson,"top of the general canopy of the plant, discounting any exceptional branches, leaves or photosynthetic portions of the inflorescence.",45.7
2016-07-15 00:00:00-05:00,Ashland Bottoms KSU 2016 Season Range 4 Pass 12,4,12,39.1389957132484,-96.63162402781509,Richardson,"top of the general canopy of the plant, discounting any exceptional branches, leaves or photosynthetic portions of the inflorescence.",52.0
2016-07-15 00:00:00-05:00,Ashland Bottoms KSU 2016 Season Range 4 Pass 27,4,27,39.1389917073626,-96.63109500329399,Richardson,"top of the general canopy of the plant, discounting any exceptional branches, leaves or photosynthetic portions of the inflorescence.",47.0
2016-07-15 00:00:00-05:00,Ashland Bottoms KSU 2016 Season Range 5 Pass 14,5,14,39.1390310137162,-96.6315548732596,Richardson,"top of the general canopy of the plant, discounting any exceptional branches, leaves or photosynthetic portions of the inflorescence.",46.3
2016-07-15 00:00:00-05:00,Ashland Bottoms KSU 2016 Season Range 9 Pass 5,9,5,39.1391764515689,-96.631873349171,PI92270,"top of the general canopy of the plant, discounting any exceptional branches, leaves or photosynthetic portions of the inflorescence.",61.0
2016-07-15 00:00:00-05:00,Ashland Bottoms KSU 2016 Season Range 14 Pass 17,14,17,39.13935178051,-96.63145308289481,PI92270,"top of the general canopy of the plant, discounting any exceptional branches, leaves or photosynthetic portions of the inflorescence.",65.0
2016-07-15 00:00:00-05:00,Ashland Bottoms KSU 2016 Season Range 2 Pass 1,2,1,39.138928400294795,-96.6320103023254,Richardson,"top of the general canopy of the plant, discounting any exceptional branches, leaves or photosynthetic portions of the inflorescence.",49.3
2016-07-15 00:00:00-05:00,Ashland Bottoms KSU 2016 Season Range 13 Pass 5,13,5,39.1393194371939,-96.6318749920775,PI655983,"top of the general canopy of the plant, discounting any exceptional branches, leaves or photosynthetic portions of the inflorescence.",38.3
2016-07-15 00:00:00-05:00,Ashland Bottoms KSU 2016 Season Range 11 Pass 13,11,13,39.1392456310085,-96.6315923243053,PI642998,"top of the general canopy of the plant, discounting any exceptional branches, leaves or photosynthetic portions of the inflorescence.",43.0
2016-07-15 00:00:00-05:00,Ashland Bottoms KSU 2016 Season Range 11 Pass 15,11,15,39.1392450880963,-96.6315221485866,PI641817,"top of the general canopy of the plant, discounting any exceptional branches, leaves or photosynthetic portions of the inflorescence.",43.3
2016-07-15 00:00:00-05:00,Ashland Bottoms KSU 2016 Season Range 10 Pass 11,10,11,39.1392102476978,-96.63166178023572,PI641824,"top of the general canopy of the plant, discounting any exceptional branches, leaves or photosynthetic portions of the inflorescence.",36.7
2016-07-15 00:00:00-05:00,Ashland Bottoms KSU 2016 Season Range 28 Pass 3,28,3,39.139854760089,-96.6319519630397,PI585406,"top of the general canopy of the plant, discounting any exceptional branches, leaves or photosynthetic portions of the inflorescence.",44.0
2016-07-15 00:00:00-05:00,Ashland Bottoms KSU 2016 Season Range 32 Pass 8,32,8,39.1399961558541,-96.63177834668271,PI585448,"top of the general canopy of the plant, discounting any exceptional branches, leaves or photosynthetic portions of the inflorescence.",54.7
