date_of_flowering,sitename,lat,lon,trait_description,days_to_flowering,cultivar,range,pass,gdd
2016-08-02,Ashland Bottoms KSU 2016 Season Range 13 Pass 13,39.13931718058561,-96.63159324873249,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",46.0,PI152651,13,13,808.0
2016-08-02,Ashland Bottoms KSU 2016 Season Range 9 Pass 24,39.139169450994004,-96.6312031669639,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",46.0,PI197542,9,24,808.0
2016-08-03,Ashland Bottoms KSU 2016 Season Range 10 Pass 13,39.139209551086005,-96.6315918520054,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",47.0,PI197542,10,13,827.0
2016-08-07,Ashland Bottoms KSU 2016 Season Range 4 Pass 17,39.1389943892894,-96.63144906394871,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",51.0,SC265,4,17,886.0
2016-08-08,Ashland Bottoms KSU 2016 Season Range 7 Pass 20,39.1391001466227,-96.63134431068171,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",52.0,SC1103,7,20,900.0
2016-08-08,Ashland Bottoms KSU 2016 Season Range 2 Pass 21,39.1389222123275,-96.63130618045919,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",52.0,SC1103,2,21,900.0
2016-08-08,Ashland Bottoms KSU 2016 Season Range 7 Pass 13,39.1391020070877,-96.63159045807949,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",52.0,SC1103,7,13,900.0
2016-08-08,Ashland Bottoms KSU 2016 Season Range 10 Pass 16,39.1392085004356,-96.63148639446828,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",52.0,PI213900,10,16,900.0
2016-08-08,Ashland Bottoms KSU 2016 Season Range 3 Pass 12,39.1389605031655,-96.63162357487958,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",52.0,SC265,3,12,900.0
2016-08-08,Ashland Bottoms KSU 2016 Season Range 3 Pass 13,39.1389602316753,-96.6315886219012,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",52.0,SC35,3,13,900.0
2016-08-08,Ashland Bottoms KSU 2016 Season Range 8 Pass 5,39.139139902130395,-96.63187292752609,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",52.0,PI213900,8,5,900.0
2016-08-08,Ashland Bottoms KSU 2016 Season Range 6 Pass 2,39.1390698036633,-96.63197807289721,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",52.0,PI181083,6,2,900.0
2016-08-08,Ashland Bottoms KSU 2016 Season Range 6 Pass 5,39.1390689723027,-96.63187210566271,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",52.0,PI180348,6,5,900.0
2016-08-08,Ashland Bottoms KSU 2016 Season Range 5 Pass 4,39.1390335035991,-96.63190680372108,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",52.0,SC265,5,4,900.0
2016-08-09,Ashland Bottoms KSU 2016 Season Range 14 Pass 24,39.1393498546273,-96.6312053311403,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",53.0,PI641830,14,24,918.0
2016-08-09,Ashland Bottoms KSU 2016 Season Range 4 Pass 20,39.1389935836255,-96.63134302652,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",53.0,SC35,4,20,918.0
2016-08-09,Ashland Bottoms KSU 2016 Season Range 9 Pass 21,39.1391705614644,-96.63130940281799,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",53.0,PI218112,9,21,918.0
2016-08-09,Ashland Bottoms KSU 2016 Season Range 6 Pass 20,39.13906485284829,-96.6313438926354,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",53.0,PI180348,6,20,918.0
2016-08-10,Ashland Bottoms KSU 2016 Season Range 27 Pass 20,39.139815032501396,-96.6313529530972,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",54.0,PI329440,27,20,937.0
2016-08-12,Ashland Bottoms KSU 2016 Season Range 14 Pass 3,39.139355603470996,-96.63194620628191,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",56.0,PI181080,14,3,972.0
2016-08-13,Ashland Bottoms KSU 2016 Season Range 2 Pass 22,39.1389219076701,-96.6312708834615,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",57.0,SC1345,2,22,986.0
2016-08-13,Ashland Bottoms KSU 2016 Season Range 9 Pass 10,39.1391746042592,-96.6316969285496,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",57.0,PI656035,9,10,986.0
2016-08-13,Ashland Bottoms KSU 2016 Season Range 5 Pass 18,39.139030020454705,-96.63141409072891,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",57.0,Ajabsido,5,18,986.0
2016-08-14,Ashland Bottoms KSU 2016 Season Range 3 Pass 19,39.1389585784212,-96.63137817949949,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",58.0,PI535796,3,19,1000.0
2016-08-14,Ashland Bottoms KSU 2016 Season Range 2 Pass 8,39.1389262539158,-96.63176544505609,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",58.0,PI535796,2,8,1000.0
2016-08-14,Ashland Bottoms KSU 2016 Season Range 13 Pass 22,39.1393146414014,-96.63127573140909,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",58.0,PI641825,13,22,1000.0
2016-08-15,Ashland Bottoms KSU 2016 Season Range 11 Pass 22,39.139243167189704,-96.6312748529927,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",59.0,PI641836,11,22,1014.0
2016-08-16,Ashland Bottoms KSU 2016 Season Range 5 Pass 16,39.1390305151538,-96.63148439037701,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",60.0,PI535794,5,16,1029.0
2016-08-16,Ashland Bottoms KSU 2016 Season Range 4 Pass 5,39.1389975886394,-96.63187127551491,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",60.0,PI535794,4,5,1029.0
2016-08-16,Ashland Bottoms KSU 2016 Season Range 7 Pass 21,39.1390998779446,-96.6313084796335,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",60.0,PI564163,7,21,1029.0
2016-08-16,Ashland Bottoms KSU 2016 Season Range 7 Pass 23,39.1390993471677,-96.63123789360029,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",60.0,PI52606,7,23,1029.0
2016-08-16,Ashland Bottoms KSU 2016 Season Range 5 Pass 19,39.13902976436079,-96.63137894542672,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",60.0,PI593916,5,19,1029.0
